,Remuneration,Spending_Score,Product,Customer_Segments,Review_Polarity,Summary_Polarity
0,12.3,39,453,LowSpending_and_LowRemuneration,0.1751546139046139,0.25
1,13.12,6,453,LowSpending_and_LowRemuneration,0.1751546139046139,0.25
2,16.4,77,453,HighSpending_and_LowRemuneration,0.1751546139046139,0.25
3,16.4,13,453,LowSpending_and_LowRemuneration,0.1751546139046139,0.25
4,84.46,17,453,LowSpending_and_HighRemuneration,0.1751546139046139,0.25
5,92.66,8,453,LowSpending_and_HighRemuneration,0.1751546139046139,0.25
6,92.66,91,453,HighSpending_and_HighRemuneration,0.1751546139046139,0.25
7,112.34,83,453,HighSpending_and_HighRemuneration,0.1751546139046139,0.25
8,12.3,39,466,LowSpending_and_LowRemuneration,0.12015422077922078,0.006249999999999992
9,12.3,81,466,HighSpending_and_LowRemuneration,0.12015422077922078,0.006249999999999992
10,13.12,77,466,HighSpending_and_LowRemuneration,0.12015422077922078,0.006249999999999992
11,16.4,13,466,LowSpending_and_LowRemuneration,0.12015422077922078,0.006249999999999992
12,16.4,79,466,HighSpending_and_LowRemuneration,0.12015422077922078,0.006249999999999992
13,84.46,85,466,HighSpending_and_HighRemuneration,0.12015422077922078,0.006249999999999992
14,98.4,16,466,LowSpending_and_HighRemuneration,0.12015422077922078,0.006249999999999992
15,12.3,39,291,LowSpending_and_LowRemuneration,0.24083764932983684,0.12166666666666667
16,13.12,77,291,HighSpending_and_LowRemuneration,0.24083764932983684,0.12166666666666667
17,13.94,40,291,LowSpending_and_LowRemuneration,0.24083764932983684,0.12166666666666667
18,14.76,6,291,LowSpending_and_LowRemuneration,0.24083764932983684,0.12166666666666667
19,18.86,29,291,LowSpending_and_LowRemuneration,0.24083764932983684,0.12166666666666667
20,84.46,23,291,LowSpending_and_HighRemuneration,0.24083764932983684,0.12166666666666667
21,92.66,8,291,LowSpending_and_HighRemuneration,0.24083764932983684,0.12166666666666667
22,103.32,28,291,LowSpending_and_HighRemuneration,0.24083764932983684,0.12166666666666667
23,103.32,74,291,HighSpending_and_HighRemuneration,0.24083764932983684,0.12166666666666667
24,12.3,39,1031,LowSpending_and_LowRemuneration,0.21323197635697635,0.17303876678876678
25,12.3,81,1031,HighSpending_and_LowRemuneration,0.21323197635697635,0.17303876678876678
26,13.94,40,1031,LowSpending_and_LowRemuneration,0.21323197635697635,0.17303876678876678
27,14.76,94,1031,HighSpending_and_LowRemuneration,0.21323197635697635,0.17303876678876678
28,15.58,3,1031,LowSpending_and_LowRemuneration,0.21323197635697635,0.17303876678876678
29,16.4,15,1031,LowSpending_and_LowRemuneration,0.21323197635697635,0.17303876678876678
30,20.5,5,1031,LowSpending_and_LowRemuneration,0.21323197635697635,0.17303876678876678
31,80.36,15,1031,LowSpending_and_HighRemuneration,0.21323197635697635,0.17303876678876678
32,84.46,85,1031,HighSpending_and_HighRemuneration,0.21323197635697635,0.17303876678876678
33,98.4,16,1031,LowSpending_and_HighRemuneration,0.21323197635697635,0.17303876678876678
34,98.4,79,1031,HighSpending_and_HighRemuneration,0.21323197635697635,0.17303876678876678
35,12.3,39,1501,LowSpending_and_LowRemuneration,0.29766633728590247,-0.01937500000000001
36,13.94,76,1501,HighSpending_and_LowRemuneration,0.29766633728590247,-0.01937500000000001
37,15.58,72,1501,HighSpending_and_LowRemuneration,0.29766633728590247,-0.01937500000000001
38,16.4,15,1501,LowSpending_and_LowRemuneration,0.29766633728590247,-0.01937500000000001
39,16.4,77,1501,HighSpending_and_LowRemuneration,0.29766633728590247,-0.01937500000000001
40,22.96,61,1501,HighSpending_and_LowRemuneration,0.29766633728590247,-0.01937500000000001
41,44.28,47,1501,AveSpending_and_AveRemuneration,0.29766633728590247,-0.01937500000000001
42,82.82,68,1501,HighSpending_and_HighRemuneration,0.29766633728590247,-0.01937500000000001
43,98.4,16,1501,LowSpending_and_HighRemuneration,0.29766633728590247,-0.01937500000000001
44,12.3,39,1183,LowSpending_and_LowRemuneration,0.35591269841269846,0.27222222222222225
45,14.76,6,1183,LowSpending_and_LowRemuneration,0.35591269841269846,0.27222222222222225
46,15.58,99,1183,HighSpending_and_LowRemuneration,0.35591269841269846,0.27222222222222225
47,16.4,79,1183,HighSpending_and_LowRemuneration,0.35591269841269846,0.27222222222222225
48,18.86,29,1183,LowSpending_and_LowRemuneration,0.35591269841269846,0.27222222222222225
49,18.86,98,1183,HighSpending_and_LowRemuneration,0.35591269841269846,0.27222222222222225
50,27.06,92,1183,HighSpending_and_LowRemuneration,0.35591269841269846,0.27222222222222225
51,44.28,51,1183,AveSpending_and_AveRemuneration,0.35591269841269846,0.27222222222222225
52,92.66,91,1183,HighSpending_and_HighRemuneration,0.35591269841269846,0.27222222222222225
53,12.3,39,2807,LowSpending_and_LowRemuneration,0.30054963092463094,0.20166666666666666
54,35.26,45,2807,AveSpending_and_AveRemuneration,0.30054963092463094,0.20166666666666666
55,57.4,77,2807,HighSpending_and_HighRemuneration,0.30054963092463094,0.20166666666666666
56,58.22,75,2807,HighSpending_and_HighRemuneration,0.30054963092463094,0.20166666666666666
57,59.86,7,2807,LowSpending_and_HighRemuneration,0.30054963092463094,0.20166666666666666
58,61.5,5,2807,LowSpending_and_HighRemuneration,0.30054963092463094,0.20166666666666666
59,62.32,87,2807,HighSpending_and_HighRemuneration,0.30054963092463094,0.20166666666666666
60,63.14,12,2807,LowSpending_and_HighRemuneration,0.30054963092463094,0.20166666666666666
61,71.34,27,2807,LowSpending_and_HighRemuneration,0.30054963092463094,0.20166666666666666
62,12.3,39,1012,LowSpending_and_LowRemuneration,0.23579208754208753,0.2346001221001221
63,13.12,77,1012,HighSpending_and_LowRemuneration,0.23579208754208753,0.2346001221001221
64,14.76,6,1012,LowSpending_and_LowRemuneration,0.23579208754208753,0.2346001221001221
65,14.76,94,1012,HighSpending_and_LowRemuneration,0.23579208754208753,0.2346001221001221
66,19.68,73,1012,HighSpending_and_LowRemuneration,0.23579208754208753,0.2346001221001221
67,79.54,86,1012,HighSpending_and_HighRemuneration,0.23579208754208753,0.2346001221001221
68,84.46,17,1012,LowSpending_and_HighRemuneration,0.23579208754208753,0.2346001221001221
69,92.66,8,1012,LowSpending_and_HighRemuneration,0.23579208754208753,0.2346001221001221
70,92.66,91,1012,HighSpending_and_HighRemuneration,0.23579208754208753,0.2346001221001221
71,98.4,16,1012,LowSpending_and_HighRemuneration,0.23579208754208753,0.2346001221001221
72,112.34,83,1012,HighSpending_and_HighRemuneration,0.23579208754208753,0.2346001221001221
73,12.3,39,2139,LowSpending_and_LowRemuneration,0.32958054989672636,0.16133333333333333
74,15.58,14,2139,LowSpending_and_LowRemuneration,0.32958054989672636,0.16133333333333333
75,17.22,35,2139,LowSpending_and_LowRemuneration,0.32958054989672636,0.16133333333333333
76,19.68,73,2139,HighSpending_and_LowRemuneration,0.32958054989672636,0.16133333333333333
77,22.96,82,2139,HighSpending_and_LowRemuneration,0.32958054989672636,0.16133333333333333
78,23.78,31,2139,LowSpending_and_LowRemuneration,0.32958054989672636,0.16133333333333333
79,23.78,87,2139,HighSpending_and_LowRemuneration,0.32958054989672636,0.16133333333333333
80,48.38,55,2139,AveSpending_and_AveRemuneration,0.32958054989672636,0.16133333333333333
81,12.3,39,3498,LowSpending_and_LowRemuneration,0.15203841239778743,0.2586666666666667
82,27.06,81,3498,HighSpending_and_LowRemuneration,0.15203841239778743,0.2586666666666667
83,41.0,56,3498,AveSpending_and_AveRemuneration,0.15203841239778743,0.2586666666666667
84,44.28,55,3498,AveSpending_and_AveRemuneration,0.15203841239778743,0.2586666666666667
85,46.74,55,3498,AveSpending_and_AveRemuneration,0.15203841239778743,0.2586666666666667
86,49.2,49,3498,AveSpending_and_AveRemuneration,0.15203841239778743,0.2586666666666667
87,49.2,47,3498,AveSpending_and_AveRemuneration,0.15203841239778743,0.2586666666666667
88,50.02,49,3498,AveSpending_and_AveRemuneration,0.15203841239778743,0.2586666666666667
89,50.84,41,3498,AveSpending_and_AveRemuneration,0.15203841239778743,0.2586666666666667
90,12.3,39,4399,LowSpending_and_LowRemuneration,0.04690703781512604,0.22991666666666663
91,70.52,95,4399,HighSpending_and_HighRemuneration,0.04690703781512604,0.22991666666666663
92,71.34,92,4399,HighSpending_and_HighRemuneration,0.04690703781512604,0.22991666666666663
93,76.26,14,4399,LowSpending_and_HighRemuneration,0.04690703781512604,0.22991666666666663
94,76.26,90,4399,HighSpending_and_HighRemuneration,0.04690703781512604,0.22991666666666663
95,80.36,15,4399,LowSpending_and_HighRemuneration,0.04690703781512604,0.22991666666666663
96,81.18,97,4399,HighSpending_and_HighRemuneration,0.04690703781512604,0.22991666666666663
97,82.82,24,4399,LowSpending_and_HighRemuneration,0.04690703781512604,0.22991666666666663
98,82.82,68,4399,HighSpending_and_HighRemuneration,0.04690703781512604,0.22991666666666663
99,12.3,81,254,HighSpending_and_LowRemuneration,0.1396159922522568,0.22916666666666666
100,13.12,6,254,LowSpending_and_LowRemuneration,0.1396159922522568,0.22916666666666666
101,13.94,40,254,LowSpending_and_LowRemuneration,0.1396159922522568,0.22916666666666666
102,17.22,35,254,LowSpending_and_LowRemuneration,0.1396159922522568,0.22916666666666666
103,84.46,17,254,LowSpending_and_HighRemuneration,0.1396159922522568,0.22916666666666666
104,84.46,23,254,LowSpending_and_HighRemuneration,0.1396159922522568,0.22916666666666666
105,98.4,79,254,HighSpending_and_HighRemuneration,0.1396159922522568,0.22916666666666666
106,12.3,81,977,HighSpending_and_LowRemuneration,0.17505378459923915,0.15328282828282827
107,13.94,40,977,LowSpending_and_LowRemuneration,0.17505378459923915,0.15328282828282827
108,13.94,76,977,HighSpending_and_LowRemuneration,0.17505378459923915,0.15328282828282827
109,18.86,98,977,HighSpending_and_LowRemuneration,0.17505378459923915,0.15328282828282827
110,84.46,69,977,HighSpending_and_HighRemuneration,0.17505378459923915,0.15328282828282827
111,92.66,8,977,LowSpending_and_HighRemuneration,0.17505378459923915,0.15328282828282827
112,92.66,91,977,HighSpending_and_HighRemuneration,0.17505378459923915,0.15328282828282827
113,103.32,74,977,HighSpending_and_HighRemuneration,0.17505378459923915,0.15328282828282827
114,112.34,18,977,LowSpending_and_HighRemuneration,0.17505378459923915,0.15328282828282827
115,12.3,81,1459,HighSpending_and_LowRemuneration,0.07512602598623502,0.12305555555555554
116,13.94,76,1459,HighSpending_and_LowRemuneration,0.07512602598623502,0.12305555555555554
117,15.58,3,1459,LowSpending_and_LowRemuneration,0.07512602598623502,0.12305555555555554
118,15.58,72,1459,HighSpending_and_LowRemuneration,0.07512602598623502,0.12305555555555554
119,20.5,73,1459,HighSpending_and_LowRemuneration,0.07512602598623502,0.12305555555555554
120,80.36,88,1459,HighSpending_and_HighRemuneration,0.07512602598623502,0.12305555555555554
121,84.46,23,1459,LowSpending_and_HighRemuneration,0.07512602598623502,0.12305555555555554
122,103.32,28,1459,LowSpending_and_HighRemuneration,0.07512602598623502,0.12305555555555554
123,12.3,81,1506,HighSpending_and_LowRemuneration,0.21335358391608392,0.1975
124,14.76,6,1506,LowSpending_and_LowRemuneration,0.21335358391608392,0.1975
125,15.58,14,1506,LowSpending_and_LowRemuneration,0.21335358391608392,0.1975
126,16.4,77,1506,HighSpending_and_LowRemuneration,0.21335358391608392,0.1975
127,16.4,13,1506,LowSpending_and_LowRemuneration,0.21335358391608392,0.1975
128,23.78,31,1506,LowSpending_and_LowRemuneration,0.21335358391608392,0.1975
129,44.28,54,1506,AveSpending_and_AveRemuneration,0.21335358391608392,0.1975
130,84.46,17,1506,LowSpending_and_HighRemuneration,0.21335358391608392,0.1975
131,98.4,79,1506,HighSpending_and_HighRemuneration,0.21335358391608392,0.1975
132,12.3,81,1212,HighSpending_and_LowRemuneration,0.1364776515151515,0.1683333333333333
133,14.76,94,1212,HighSpending_and_LowRemuneration,0.1364776515151515,0.1683333333333333
134,16.4,15,1212,LowSpending_and_LowRemuneration,0.1364776515151515,0.1683333333333333
135,17.22,35,1212,LowSpending_and_LowRemuneration,0.1364776515151515,0.1683333333333333
136,18.86,98,1212,HighSpending_and_LowRemuneration,0.1364776515151515,0.1683333333333333
137,19.68,35,1212,LowSpending_and_LowRemuneration,0.1364776515151515,0.1683333333333333
138,27.06,14,1212,LowSpending_and_LowRemuneration,0.1364776515151515,0.1683333333333333
139,44.28,55,1212,AveSpending_and_AveRemuneration,0.1364776515151515,0.1683333333333333
140,98.4,16,1212,LowSpending_and_HighRemuneration,0.1364776515151515,0.1683333333333333
141,12.3,81,2811,HighSpending_and_LowRemuneration,0.19463997113997114,0.37875000000000003
142,35.26,41,2811,AveSpending_and_AveRemuneration,0.19463997113997114,0.37875000000000003
143,58.22,35,2811,AveSpending_and_AveRemuneration,0.19463997113997114,0.37875000000000003
144,59.04,34,2811,AveSpending_and_AveRemuneration,0.19463997113997114,0.37875000000000003
145,59.86,73,2811,HighSpending_and_HighRemuneration,0.19463997113997114,0.37875000000000003
146,61.5,93,2811,HighSpending_and_HighRemuneration,0.19463997113997114,0.37875000000000003
147,63.14,12,2811,LowSpending_and_HighRemuneration,0.19463997113997114,0.37875000000000003
148,63.14,97,2811,HighSpending_and_HighRemuneration,0.19463997113997114,0.37875000000000003
149,71.34,63,2811,HighSpending_and_HighRemuneration,0.19463997113997114,0.37875000000000003
150,12.3,81,7384,HighSpending_and_LowRemuneration,0.1836216883116883,0.13
151,37.72,51,7384,AveSpending_and_AveRemuneration,0.1836216883116883,0.13
152,58.22,75,7384,HighSpending_and_HighRemuneration,0.1836216883116883,0.13
153,59.86,88,7384,HighSpending_and_HighRemuneration,0.1836216883116883,0.13
154,61.5,5,7384,LowSpending_and_HighRemuneration,0.1836216883116883,0.13
155,63.14,12,7384,LowSpending_and_HighRemuneration,0.1836216883116883,0.13
156,63.14,74,7384,HighSpending_and_HighRemuneration,0.1836216883116883,0.13
157,63.96,22,7384,LowSpending_and_HighRemuneration,0.1836216883116883,0.13
158,71.34,10,7384,LowSpending_and_HighRemuneration,0.1836216883116883,0.13
159,12.3,81,2162,HighSpending_and_LowRemuneration,0.24354672619047618,0.2536363636363636
160,15.58,99,2162,HighSpending_and_LowRemuneration,0.24354672619047618,0.2536363636363636
161,17.22,66,2162,HighSpending_and_LowRemuneration,0.24354672619047618,0.2536363636363636
162,20.5,5,2162,LowSpending_and_LowRemuneration,0.24354672619047618,0.2536363636363636
163,22.96,32,2162,LowSpending_and_LowRemuneration,0.24354672619047618,0.2536363636363636
164,23.78,87,2162,HighSpending_and_LowRemuneration,0.24354672619047618,0.2536363636363636
165,24.6,4,2162,LowSpending_and_LowRemuneration,0.24354672619047618,0.2536363636363636
166,48.38,41,2162,AveSpending_and_AveRemuneration,0.24354672619047618,0.2536363636363636
167,12.3,81,3524,HighSpending_and_LowRemuneration,0.0718693209876543,0.17200000000000001
168,27.88,17,3524,LowSpending_and_LowRemuneration,0.0718693209876543,0.17200000000000001
169,44.28,47,3524,AveSpending_and_AveRemuneration,0.0718693209876543,0.17200000000000001
170,44.28,41,3524,AveSpending_and_AveRemuneration,0.0718693209876543,0.17200000000000001
171,47.56,60,3524,AveSpending_and_AveRemuneration,0.0718693209876543,0.17200000000000001
172,49.2,40,3524,AveSpending_and_AveRemuneration,0.0718693209876543,0.17200000000000001
173,49.2,50,3524,AveSpending_and_AveRemuneration,0.0718693209876543,0.17200000000000001
174,50.84,41,3524,AveSpending_and_AveRemuneration,0.0718693209876543,0.17200000000000001
175,50.84,48,3524,AveSpending_and_AveRemuneration,0.0718693209876543,0.17200000000000001
